character	index	digits	pdf_page
皕	7339	132511132511	322
硪	7340	132513121534	322
欹	7341	134125123534	322
詟	7342	135344111251	322
𫐐	7343	152132151135	323
辌	7344	152141251234	324
棐	7345	211121111234	324
龂	7346	212134523312	324
𬹼	7347	212134523432	324
黹	7348	224314325234	324
牚	7349	243452511523	325
睎	7350	251113413252	325
晫	7351	251121251112	326
晪	7352	251125122134	326
晱	7353	251143344334	327
𧿹	7354	251212155414	328
蛑	7355	251214543112	329
畯	7356	251215434354	329
斝	7357	251251454412	330
喤	7358	251325111121	330
崶	7359	252121121124	331
嵁	7360	252122111345	331
𫶇	7361	252122245252	331
崾	7362	252125221531	332
嵅	7363	252131251534	332
崿	7364	252251251115	332
嵚	7365	252311153534	332
翙	7366	252354541541	332
𫖮	7367	252515132534	333
圌	7368	252521325221	333
圐	7369	252522141531	333
赑	7370	253425342534	333
淼	7371	253425342534	333
赒	7372	253435121251	333
鿏	7373	311151121354	334
铹	7374	311151224553	334
𬭊	7375	311151234121	334
铽	7376	311151454454	334
𨱇	7377	311151241344	334
𫓶	7378	311152512511	335
锊	7379	311153443124	335
锍	7380	311154154325	336
锎	7381	311154251132	336
𬭎	7382	311154451354	336
锓	7383	311155114554	336
犇	7384	311231213112	336
颋	7385	312154132534	338
稌	7386	312343411234	338
筀	7387	314314121121	338
筘	7388	314314121251	339
筜	7389	314314243511	339
筥	7390	314314251251	339
筅	7391	314314312135	339
傃	7392	321121554234	340
傉	7393	321311534124	340
翛	7394	322354541541	340
傒	7395	323443554134	341
傕	7396	324532411121	341
舾	7397	335414125351	342
畬	7398	341123425121	342
𫖯	7399	341534132534	343
脿	7400	351111213534	343
腘	7401	351125112141	344
䐃	7402	351125312341	344
腙	7403	351144511234	344
腒	7404	351151312251	344
𬱟	7405	351355132534	344
鲃	7406	352512115215	345
猰	7407	353111253134	345
𫛭	7408	353112135451	345
猯	7409	353252132522	345
㺄	7410	353341251122	346
馉	7411	355255452511	346
凓	7412	411252211234	347
鄗	7413	412512525152	347
𫷷	7414	413311153534	347
廋	7415	413321511254	347
廆	7416	413325113554	347
鄌	7417	413511225152	348
粢	7418	413534431234	349
遆	7419	414345252454	349
旐	7420	415331341534	349
𬮱	7421	425125221121	349
焞	7422	433441251521	351
𬊤	7423	433443251112	351
欻	7424	433443343534	351
𣸣	7425	441121222534	351
溚	7426	441122341251	352
溁	7427	441122451234	352
湝	7428	441153532511	352
渰	7429	441341251132	353
